FybrrLink Path BW,FybrrLink Path latency,FFybrrLink Path PLR,FybrrLink Hops Count,FybrrLink Execution Time,FybrrLink AVG CD,Plane Dijkstra Path BW,Plane Dijkstra Path latency,Plane Dijkstra Path PLR, Plane Dijkstra Hops Count, Plane Dijkstr Execution Time (in ms),Plane Dijkstra AVG CD,SDRA Path BW,SDRA latency,SDRA PLR,SDRA Hops Count,SDRA Execution Time,SDRA avg CD,Sway Path BW,Sway latency,Sway PLR,Sway Hops Count,Sway Execution Time,Sway avg CD
735,14.1854,0.00059995,2,11,0.69907,956,73.8443,0.00538917,4,72,0.699373,735,14.1854,0.00059995,2,339,0.703039,735,14.1854,0.00059995,2,2840,0.698304
897,26.4557,0.00179935,2,12,0.699132,923,56.2851,0.00399476,3,43,0.699486,0,0,0,0,0,0.703131,897,26.4557,0.00179935,2,1567,0.698396
805,87.5726,0.00379491,5,14,0.699249,927,89.5998,0.00399461,5,133,0.69964,956,90.499,0.00538884,6,3609,0.703131,908,88.3697,0.00558838,5,4535,0.698476
783,67.7869,0.00518994,5,19,0.699355,863,114.374,0.00747688,6,141,0.699742,791,66.1924,0.00578647,8,1205855,0.703324,896,59.0075,0.00568791,5,2535,0.698598
836,20.8358,0.00309766,2,12,0.699519,873,55.0551,0.00309752,3,46,0.699921,817,22.9651,0.00289732,3,682,0.703683,792,20.8358,0.00309766,2,1708,0.698691
759,21.2781,0.00289764,3,11,0.699541,738,110.766,0.00558845,6,151,0.699953,759,21.2781,0.00289764,3,274,0.703728,736,46.5039,0.00598551,6,25454,0.698706
734,28.3708,0.0034959,4,13,0.699618,713,147.689,0.00678143,8,206,0.70009,734,28.3708,0.0034959,4,254,0.703844,756,79.2696,0.00768229,7,26439,0.69888
780,70.0134,0.00359563,4,12,0.699825,902,72.0406,0.00379537,4,93,0.700471,931,72.9398,0.00518988,5,1764,0.704154,946,72.0406,0.00379537,4,1834,0.699157
744,90.1735,0.00608579,5,13,0.699948,866,91.4035,0.00519006,5,121,0.700589,802,93.2019,0.00419315,7,60611,0.704384,910,91.4035,0.00519006,5,1892,0.699287
798,90.46,0.00528904,6,15,0.700294,975,92.5509,0.00548921,5,108,0.700928,0,0,0,0,0,0.705107,798,110.46,0.00528904,6,2887,0.699575
